Timestamp,Latitude,Longitude,Location,Vehicle_Count,NO2_Emissions,Weather_Conditions,Traffic_Flow_Speed,Rush_Hour_Indicator,Suggested_Route_Adjustment,Waze_API_URL
2023-04-02 00:00:00,31.45,73.12,Canal Road,438,93.51,Foggy,63,Yes,None,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.45&lon=73.12
2023-09-09 00:00:00,31.45,73.12,Canal Road,411,39.51,Cloudy,49,No,Avoid main road,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.45&lon=73.12
2023-11-15 00:00:00,31.45,73.12,Canal Road,158,80.31,Hazy,68,No,Avoid main road,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.45&lon=73.12
2023-10-14 00:00:00,31.43,73.08,Ghulam Muhammad Abad,340,61.63,Foggy,78,No,Delay travel,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.43&lon=73.08
2023-11-19 00:00:00,31.43,73.08,Ghulam Muhammad Abad,324,50.26,Foggy,30,Yes,None,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.43&lon=73.08
2023-08-28 00:00:00,31.42,73.1,Susan Road,117,30.77,Clear,28,No,Avoid main road,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.42&lon=73.1
2023-11-22 00:00:00,31.42,73.1,Susan Road,13,32.27,Foggy,13,Yes,Use alternate road,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.42&lon=73.1
2023-12-22 00:00:00,31.42,73.1,Susan Road,225,143.81,Foggy,74,Yes,None,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.42&lon=73.1
2023-03-02 00:00:00,31.415,73.11,People's Colony,76,64.03,Clear,79,No,Delay travel,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.415&lon=73.11
2023-08-14 00:00:00,31.415,73.11,People's Colony,407,45.27,Rainy,77,Yes,Avoid main road,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.415&lon=73.11
2023-02-18 00:00:00,31.415,73.11,People's Colony,154,114.46,Rainy,56,No,None,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.415&lon=73.11
2023-04-27 00:00:00,31.432,73.085,Kohinoor City,155,75.53,Foggy,15,No,Use alternate road,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.432&lon=73.085
2023-08-14 00:00:00,31.432,73.085,Kohinoor City,114,37.94,Cloudy,70,No,None,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.432&lon=73.085
2023-05-25 00:00:00,31.432,73.085,Kohinoor City,113,83.37,Clear,63,Yes,Use alternate road,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.432&lon=73.085
2023-01-23 00:00:00,31.418,73.072,Clock Tower,382,25.05,Clear,42,Yes,Avoid main road,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.418&lon=73.072
2023-02-19 00:00:00,31.418,73.072,Clock Tower,235,16.54,Clear,61,No,Delay travel,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.418&lon=73.072
2023-10-29 00:00:00,31.418,73.072,Clock Tower,232,80.35,Clear,68,Yes,Avoid main road,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.418&lon=73.072
2023-03-31 00:00:00,31.418,73.072,Clock Tower,143,99.02,Clear,67,No,Delay travel,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.418&lon=73.072
2023-03-08 00:00:00,31.418,73.072,Clock Tower,160,42.13,Hazy,69,No,None,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.418&lon=73.072
2023-08-02 00:00:00,31.425,73.115,D Ground,406,23.81,Foggy,27,Yes,None,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.425&lon=73.115
2023-08-18 00:00:00,31.425,73.115,D Ground,154,22.27,Rainy,24,Yes,Use alternate road,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.425&lon=73.115
2023-09-15 00:00:00,31.425,73.115,D Ground,426,42.11,Cloudy,29,No,None,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.425&lon=73.115
2023-05-20 00:00:00,31.44,73.13,Madina Town,145,123.83,Cloudy,55,No,Delay travel,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.44&lon=73.13
2023-08-23 00:00:00,31.44,73.13,Madina Town,482,125.72,Cloudy,13,No,None,https://www.waze.com/live-map/api/georss?env=row&types=alerts&lat=31.44&lon=73.13
